job_id	title	company	city	salary_low	salary_high	edu	exp	tags	category	company_tier	desc	publish_time
	产品助理	旷视科技	深圳	11	18	博士	应届生	需求分析;Figma;用户研究	产品经理	中型企业	"编写产品需求文档（PRD）
负责产品助理的产品规划和设计
进行用户调研和需求分析

任职要求：
应届生以上产品经理经验
具备良好的产品思维和用户洞察力
有相关行业产品经验者优先
熟练使用Axure、Figma等设计工具"	2026-02-09
	公关经理	拼多多	南京	6	9	本科	应届生	市场调研;渠道拓展;营销策划	市场推广	头部大厂	"分析市场动态和竞争对手
制定市场推广策略和计划
负责公关经理相关的市场推广工作

任职要求：
熟悉各类营销渠道和推广方式
具备良好的商务谈判能力
本科及以上学历
具备市场策划和执行能力"	2026-03-01
	销售经理	360	天津	8	13	硕士	1-3年	品牌推广;公关;媒介投放;营销策划;BD;市场调研	市场推广	头部大厂	"组织市场活动和品牌宣传
分析市场动态和竞争对手
拓展市场渠道和合作伙伴

任职要求：
1-3年以上市场推广经验
有相关行业资源者优先
熟悉各类营销渠道和推广方式
具备市场策划和执行能力"	2026-02-04
	行政专员	优酷	广州	16	27	不限	10年以上	招聘;薪酬管理;组织管理;Excel;PPT;绩效考核	职能管理	中型企业	"协助部门完成日常管理工作
负责行政专员相关工作
完成上级交办的其他任务

任职要求：
具备良好的沟通协调能力
熟练使用办公软件
有相关行业经验者优先
10年以上以上相关工作经验"	2026-02-14
	UX设计	格力	成都	22	37	硕士	5-10年	After Effects;Sketch;Photoshop;Figma	UI设计	中型企业	"制作设计稿和交互原型
负责UX设计相关的设计工作
根据需求进行创意设计和视觉表现

任职要求：
有优秀作品集者优先
具备良好的审美能力和创意思维
具备良好的沟通理解能力
5-10年以上设计经验"	2026-02-15
	运营经理	当当网	苏州	11	18	本科	3-5年	社群运营;数据分析;SEM;活动策划;用户增长;SEO	运营	中型企业	"制定运营策略和执行计划
分析运营数据，优化运营效果
负责运营经理相关的运营工作

任职要求：
有成功运营案例者优先
具备数据分析能力和运营思维
具备良好的文案写作能力
本科及以上学历"	2026-02-09
	产品经理	搜狐	重庆	5	9	硕士	不限	原型设计;用户研究;Axure;PRD文档;需求分析	产品经理	头部大厂	"协调开发、设计、测试等团队资源
跟踪产品上线后的数据表现
编写产品需求文档（PRD）

任职要求：
具备良好的产品思维和用户洞察力
具备优秀的沟通协调能力
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先"	2026-02-24
	全栈开发工程师	云从科技	上海	70	114	博士	10年以上	微服务;Hadoop;MySQL;Jenkins	数据分析	中型企业	"参与技术方案评审，解决技术难题
编写高质量、可维护的代码
持续优化系统性能和用户体验

任职要求：
具备良好的沟通能力和团队协作精神
熟悉相关技术栈和开发工具
10年以上以上相关工作经验
有大型项目经验者优先"	2026-03-05
	平面设计	平安科技	南京	31	51	博士	5-10年	Illustrator;Sketch;Photoshop;3D Max	UI设计	中型企业	"负责平面设计相关的设计工作
制作设计稿和交互原型
持续优化设计质量和用户体验

任职要求：
具备良好的沟通理解能力
有优秀作品集者优先
具备良好的审美能力和创意思维
博士及以上学历，设计相关专业优先"	2026-02-09
	市场经理	阿里巴巴	北京	5	9	不限	应届生	公关;媒介投放;市场调研;BD;品牌推广	市场推广	头部大厂	"分析市场动态和竞争对手
拓展市场渠道和合作伙伴
组织市场活动和品牌宣传

任职要求：
具备市场策划和执行能力
应届生以上市场推广经验
具备良好的商务谈判能力
不限及以上学历"	2026-02-17
	产品总监	宁德时代	长沙	10	16	博士	1-3年	需求分析;Figma;用户研究;数据分析	产品经理	中型企业	"编写产品需求文档（PRD）
协调开发、设计、测试等团队资源
负责产品总监的产品规划和设计

任职要求：
博士及以上学历
1-3年以上产品经理经验
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先"	2026-02-27
	产品总监	搜狐	杭州	6	9	大专	应届生	数据分析;Axure;需求分析;用户研究;产品设计;PRD文档	产品经理	头部大厂	"协调开发、设计、测试等团队资源
跟踪产品上线后的数据表现
进行用户调研和需求分析

任职要求：
应届生以上产品经理经验
熟练使用Axure、Figma等设计工具
具备优秀的沟通协调能力
大专及以上学历"	2026-02-17
	公关经理	平安科技	长沙	8	14	不限	3-5年	营销策划;媒介投放;BD;市场调研;渠道拓展;品牌推广	市场推广	中型企业	"负责公关经理相关的市场推广工作
组织市场活动和品牌宣传
分析市场动态和竞争对手

任职要求：
熟悉各类营销渠道和推广方式
3-5年以上市场推广经验
具备良好的商务谈判能力
有相关行业资源者优先"	2026-02-23
	财务专员	海尔	青岛	10	16	本科	5-10年	培训;薪酬管理;PPT;招聘	职能管理	中型企业	"协调各部门之间的沟通
整理和归档相关文件资料
协助部门完成日常管理工作

任职要求：
熟练使用办公软件
本科及以上学历
有相关行业经验者优先
5-10年以上相关工作经验"	2026-02-11
	品牌经理	旷视科技	成都	11	19	本科	3-5年	市场调研;营销策划;BD;渠道拓展	市场推广	中型企业	"负责品牌经理相关的市场推广工作
组织市场活动和品牌宣传
制定市场推广策略和计划

任职要求：
本科及以上学历
3-5年以上市场推广经验
有相关行业资源者优先
具备市场策划和执行能力"	2026-02-05
	出纳	比亚迪	北京	7	12	硕士	应届生	Excel;培训;薪酬管理;绩效考核	职能管理	中型企业	"协助部门完成日常管理工作
完成上级交办的其他任务
协调各部门之间的沟通

任职要求：
具备良好的沟通协调能力
应届生以上相关工作经验
硕士及以上学历
熟练使用办公软件"	2026-02-07
	3D设计师	大疆创新	长沙	8	13	本科	3-5年	Figma;Photoshop;Illustrator;Adobe XD	UI设计	中型企业	"负责3D设计师相关的设计工作
持续优化设计质量和用户体验
与产品、开发团队协作

任职要求：
具备良好的审美能力和创意思维
3-5年以上设计经验
本科及以上学历，设计相关专业优先
具备良好的沟通理解能力"	2026-02-17
	交互设计	阿里巴巴	青岛	6	10	本科	1-3年	产品设计;Figma;数据分析;PRD文档;Axure	UI设计	头部大厂	"进行用户调研和需求分析
跟踪产品上线后的数据表现
负责交互设计的产品规划和设计

任职要求：
熟练使用Axure、Figma等设计工具
1-3年以上产品经理经验
具备优秀的沟通协调能力
本科及以上学历"	2026-02-07
	内容运营	小米	广州	13	21	博士	1-3年	内容策划;SEM;活动策划;用户增长	运营	头部大厂	"负责内容运营相关的运营工作
分析运营数据，优化运营效果
制定运营策略和执行计划

任职要求：
具备良好的文案写作能力
熟悉新媒体运营和内容策划
有成功运营案例者优先
具备数据分析能力和运营思维"	2026-02-17
	出纳	云从科技	成都	14	23	不限	10年以上	绩效考核;Excel;薪酬管理;培训;招聘;PPT	职能管理	中型企业	"负责出纳相关工作
整理和归档相关文件资料
协助部门完成日常管理工作

任职要求：
不限及以上学历
工作认真负责，细致耐心
熟练使用办公软件
10年以上以上相关工作经验"	2026-02-22
	内容运营	大华股份	广州	5	8	大专	1-3年	数据分析;新媒体;SEM;活动策划;用户增长;内容策划	运营	大型企业	"负责内容运营相关的运营工作
制定运营策略和执行计划
策划和执行线上线下活动

任职要求：
具备数据分析能力和运营思维
熟悉新媒体运营和内容策划
具备良好的文案写作能力
1-3年以上运营经验"	2026-02-12
	市场经理	网易	武汉	5	8	大专	1-3年	公关;品牌推广;营销策划;媒介投放;市场调研	市场推广	头部大厂	"组织市场活动和品牌宣传
负责市场经理相关的市场推广工作
拓展市场渠道和合作伙伴

任职要求：
具备市场策划和执行能力
有相关行业资源者优先
熟悉各类营销渠道和推广方式
大专及以上学历"	2026-02-05
	运营经理	阿里巴巴	杭州	8	13	不限	1-3年	内容策划;SEM;社群运营;用户增长;数据分析	运营	头部大厂	"负责运营经理相关的运营工作
策划和执行线上线下活动
制定运营策略和执行计划

任职要求：
具备数据分析能力和运营思维
具备良好的文案写作能力
熟悉新媒体运营和内容策划
1-3年以上运营经验"	2026-02-15
	DevOps工程师	中兴通讯	西安	5	8	不限	应届生	Pandas;数据结构;深度学习	运维工程师	中型企业	"持续优化系统性能和用户体验
负责DevOps工程师相关的系统设计和开发工作
参与技术方案评审，解决技术难题

任职要求：
熟悉相关技术栈和开发工具
具备良好的编程基础和算法能力
有大型项目经验者优先
具备良好的沟通能力和团队协作精神"	2026-02-11
	产品经理	云从科技	苏州	20	33	博士	3-5年	Figma;产品设计;需求分析	产品经理	中型企业	"进行用户调研和需求分析
协调开发、设计、测试等团队资源
编写产品需求文档（PRD）

任职要求：
3-5年以上产品经理经验
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先
具备优秀的沟通协调能力"	2026-02-17
	Python开发工程师	海尔	深圳	15	25	大专	3-5年	Hadoop;Vue;Pandas;Jenkins;TypeScript;JavaScript	前端开发	中型企业	"参与技术方案评审，解决技术难题
编写高质量、可维护的代码
持续优化系统性能和用户体验

任职要求：
有大型项目经验者优先
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具
3-5年以上相关工作经验"	2026-02-16
	财务专员	网易	天津	14	24	硕士	10年以上	薪酬管理;培训;招聘;组织管理;Excel	职能管理	头部大厂	"整理和归档相关文件资料
完成上级交办的其他任务
协调各部门之间的沟通

任职要求：
具备良好的沟通协调能力
熟练使用办公软件
工作认真负责，细致耐心
硕士及以上学历"	2026-02-04
	运营专员	新浪	郑州	16	26	本科	10年以上	数据分析;内容策划;新媒体;社群运营;SEM;用户增长	运营	头部大厂	"策划和执行线上线下活动
维护用户关系，提升用户活跃度
分析运营数据，优化运营效果

任职要求：
具备数据分析能力和运营思维
有成功运营案例者优先
本科及以上学历
熟悉新媒体运营和内容策划"	2026-03-01
	运营专员	网易	武汉	18	30	博士	5-10年	新媒体;数据分析;内容策划	运营	头部大厂	"分析运营数据，优化运营效果
制定运营策略和执行计划
策划和执行线上线下活动

任职要求：
熟悉新媒体运营和内容策划
有成功运营案例者优先
5-10年以上运营经验
具备良好的文案写作能力"	2026-02-21
	动效设计师	平安科技	深圳	13	21	硕士	1-3年	Illustrator;Photoshop;C4D	UI设计	中型企业	"负责动效设计师相关的设计工作
根据需求进行创意设计和视觉表现
制作设计稿和交互原型

任职要求：
熟练使用设计软件和工具
有优秀作品集者优先
硕士及以上学历，设计相关专业优先
具备良好的审美能力和创意思维"	2026-02-14
	市场经理	旷视科技	北京	16	27	本科	3-5年	品牌推广;市场调研;公关	市场推广	大型企业	"拓展市场渠道和合作伙伴
负责市场经理相关的市场推广工作
组织市场活动和品牌宣传

任职要求：
具备良好的商务谈判能力
本科及以上学历
有相关行业资源者优先
具备市场策划和执行能力"	2026-03-06
	市场专员	比亚迪	杭州	10	17	不限	3-5年	市场调研;品牌推广;媒介投放;公关;渠道拓展	市场推广	中型企业	"分析市场动态和竞争对手
负责市场专员相关的市场推广工作
制定市场推广策略和计划

任职要求：
具备良好的商务谈判能力
3-5年以上市场推广经验
具备市场策划和执行能力
不限及以上学历"	2026-02-22
	会计	格力	长沙	11	18	博士	3-5年	沟通协调;组织管理;培训;绩效考核;Excel;招聘	职能管理	中型企业	"协助部门完成日常管理工作
协调各部门之间的沟通
负责会计相关工作

任职要求：
有相关行业经验者优先
3-5年以上相关工作经验
博士及以上学历
熟练使用办公软件"	2026-03-05
	数据工程师	京东	深圳	10	16	本科	不限	TensorFlow;Django;NumPy;Jenkins;Linux	后端开发	头部大厂	"参与技术方案评审，解决技术难题
负责数据工程师相关的系统设计和开发工作
编写高质量、可维护的代码

任职要求：
有大型项目经验者优先
具备良好的沟通能力和团队协作精神
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具"	2026-02-28
	运营经理	京东	武汉	9	15	本科	3-5年	SEO;用户增长;活动策划;新媒体;社群运营	运营	头部大厂	"分析运营数据，优化运营效果
策划和执行线上线下活动
负责运营经理相关的运营工作

任职要求：
具备数据分析能力和运营思维
熟悉新媒体运营和内容策划
有成功运营案例者优先
具备良好的文案写作能力"	2026-02-07
	产品助理	蚂蚁集团	武汉	12	19	大专	5-10年	Axure;Figma;数据分析;PRD文档	产品经理	头部大厂	"编写产品需求文档（PRD）
进行用户调研和需求分析
跟踪产品上线后的数据表现

任职要求：
5-10年以上产品经理经验
熟练使用Axure、Figma等设计工具
大专及以上学历
具备优秀的沟通协调能力"	2026-02-14
	交互设计	海尔	成都	4	7	大专	应届生	Sketch;After Effects;3D Max;Adobe XD	UI设计	中型企业	"制作设计稿和交互原型
与产品、开发团队协作
持续优化设计质量和用户体验

任职要求：
具备良好的沟通理解能力
有优秀作品集者优先
应届生以上设计经验
熟练使用设计软件和工具"	2026-02-10
	UX设计	字节跳动	杭州	18	29	不限	5-10年	C4D;Adobe XD;3D Max	UI设计	头部大厂	"负责UX设计相关的设计工作
与产品、开发团队协作
根据需求进行创意设计和视觉表现

任职要求：
熟练使用设计软件和工具
具备良好的沟通理解能力
5-10年以上设计经验
有优秀作品集者优先"	2026-02-08
	新媒体运营	中通	青岛	4	7	大专	1-3年	内容策划;社群运营;用户增长;SEM;新媒体	运营	中型企业	"策划和执行线上线下活动
制定运营策略和执行计划
维护用户关系，提升用户活跃度

任职要求：
大专及以上学历
熟悉新媒体运营和内容策划
有成功运营案例者优先
具备良好的文案写作能力"	2026-02-09
	UI设计	当当网	北京	7	11	不限	不限	Figma;Adobe XD;3D Max;C4D;Sketch;Photoshop	UI设计	中型企业	"根据需求进行创意设计和视觉表现
与产品、开发团队协作
制作设计稿和交互原型

任职要求：
有优秀作品集者优先
具备良好的审美能力和创意思维
不限以上设计经验
具备良好的沟通理解能力"	2026-02-14
	市场专员	腾讯	成都	12	19	本科	5-10年	市场调研;渠道拓展;公关;BD;营销策划	市场推广	头部大厂	"制定市场推广策略和计划
组织市场活动和品牌宣传
负责市场专员相关的市场推广工作

任职要求：
有相关行业资源者优先
5-10年以上市场推广经验
具备市场策划和执行能力
本科及以上学历"	2026-02-10
	出纳	网易	天津	3	5	大专	应届生	培训;沟通协调;绩效考核;组织管理	职能管理	头部大厂	"负责出纳相关工作
协调各部门之间的沟通
协助部门完成日常管理工作

任职要求：
大专及以上学历
工作认真负责，细致耐心
熟练使用办公软件
具备良好的沟通协调能力"	2026-03-03
	数据运营	商汤科技	上海	8	13	硕士	应届生	社群运营;新媒体;内容策划;SEM	运营	中型企业	"负责数据运营相关的运营工作
维护用户关系，提升用户活跃度
策划和执行线上线下活动

任职要求：
应届生以上运营经验
具备数据分析能力和运营思维
有成功运营案例者优先
具备良好的文案写作能力"	2026-02-08
	财务专员	大华股份	北京	19	31	硕士	5-10年	薪酬管理;培训;沟通协调;Excel;组织管理;绩效考核	职能管理	中型企业	"负责财务专员相关工作
协助部门完成日常管理工作
整理和归档相关文件资料

任职要求：
熟练使用办公软件
工作认真负责，细致耐心
有相关行业经验者优先
5-10年以上相关工作经验"	2026-02-24
	数据工程师	商汤科技	广州	23	37	大专	10年以上	Linux;算法;分布式系统;Java;MongoDB	后端开发	中型企业	"参与技术方案评审，解决技术难题
负责数据工程师相关的系统设计和开发工作
持续优化系统性能和用户体验

任职要求：
大专及以上学历，计算机相关专业优先
具备良好的沟通能力和团队协作精神
有大型项目经验者优先
具备良好的编程基础和算法能力"	2026-03-02
	3D设计师	字节跳动	长沙	6	11	硕士	应届生	Adobe XD;After Effects;Figma;Sketch	UI设计	头部大厂	"负责3D设计师相关的设计工作
持续优化设计质量和用户体验
与产品、开发团队协作

任职要求：
具备良好的审美能力和创意思维
应届生以上设计经验
有优秀作品集者优先
具备良好的沟通理解能力"	2026-03-02
	市场专员	美的	西安	4	7	硕士	应届生	品牌推广;营销策划;公关;BD;渠道拓展;媒介投放	市场推广	中型企业	"制定市场推广策略和计划
负责市场专员相关的市场推广工作
分析市场动态和竞争对手

任职要求：
硕士及以上学历
有相关行业资源者优先
具备市场策划和执行能力
应届生以上市场推广经验"	2026-02-24
	交互设计	百度	长沙	5	9	大专	1-3年	Figma;PRD文档;用户研究	UI设计	头部大厂	"编写产品需求文档（PRD）
负责交互设计的产品规划和设计
进行用户调研和需求分析

任职要求：
大专及以上学历
具备良好的产品思维和用户洞察力
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先"	2026-02-13
	前端开发工程师	阿里巴巴	上海	26	43	大专	10年以上	Jenkins;微服务;Docker	前端开发	头部大厂	"参与技术方案评审，解决技术难题
负责前端开发工程师相关的系统设计和开发工作
参与需求分析、系统设计、编码实现和测试

任职要求：
10年以上以上相关工作经验
具备良好的沟通能力和团队协作精神
有大型项目经验者优先
大专及以上学历，计算机相关专业优先"	2026-02-24
	3D设计师	腾讯	郑州	4	6	大专	不限	Sketch;3D Max;C4D;Adobe XD	UI设计	头部大厂	"根据需求进行创意设计和视觉表现
与产品、开发团队协作
负责3D设计师相关的设计工作

任职要求：
有优秀作品集者优先
具备良好的沟通理解能力
具备良好的审美能力和创意思维
熟练使用设计软件和工具"	2026-02-09
	产品经理	依图科技	武汉	15	24	本科	10年以上	用户研究;需求分析;Axure;Figma;PRD文档	产品经理	中型企业	"跟踪产品上线后的数据表现
编写产品需求文档（PRD）
进行用户调研和需求分析

任职要求：
10年以上以上产品经理经验
具备优秀的沟通协调能力
本科及以上学历
具备良好的产品思维和用户洞察力"	2026-02-21
	市场专员	哔哩哔哩	上海	55	90	博士	10年以上	BD;市场调研;营销策划;品牌推广	市场推广	头部大厂	"制定市场推广策略和计划
分析市场动态和竞争对手
拓展市场渠道和合作伙伴

任职要求：
博士及以上学历
10年以上以上市场推广经验
具备良好的商务谈判能力
具备市场策划和执行能力"	2026-03-05
	产品总监	阿里巴巴	杭州	25	40	大专	10年以上	产品设计;Axure;PRD文档	产品经理	头部大厂	"编写产品需求文档（PRD）
进行用户调研和需求分析
协调开发、设计、测试等团队资源

任职要求：
10年以上以上产品经理经验
有相关行业产品经验者优先
大专及以上学历
具备优秀的沟通协调能力"	2026-02-24
	3D设计师	哔哩哔哩	杭州	14	24	博士	不限	C4D;Sketch;Illustrator;3D Max	UI设计	头部大厂	"与产品、开发团队协作
持续优化设计质量和用户体验
根据需求进行创意设计和视觉表现

任职要求：
熟练使用设计软件和工具
博士及以上学历，设计相关专业优先
具备良好的审美能力和创意思维
具备良好的沟通理解能力"	2026-02-21
	运维工程师	携程	南京	13	22	不限	3-5年	React;Redis;MySQL;Vue;Linux	前端开发	头部大厂	"负责运维工程师相关的系统设计和开发工作
参与技术方案评审，解决技术难题
编写高质量、可维护的代码

任职要求：
不限及以上学历，计算机相关专业优先
具备良好的沟通能力和团队协作精神
熟悉相关技术栈和开发工具
3-5年以上相关工作经验"	2026-02-25
	行政助理	爱奇艺	杭州	30	49	博士	5-10年	组织管理;培训;招聘;沟通协调	职能管理	中型企业	"协调各部门之间的沟通
完成上级交办的其他任务
负责行政助理相关工作

任职要求：
工作认真负责，细致耐心
有相关行业经验者优先
5-10年以上相关工作经验
博士及以上学历"	2026-02-26
	人力资源	云从科技	杭州	10	16	不限	3-5年	薪酬管理;绩效考核;沟通协调	职能管理	中型企业	"协助部门完成日常管理工作
完成上级交办的其他任务
整理和归档相关文件资料

任职要求：
熟练使用办公软件
工作认真负责，细致耐心
不限及以上学历
有相关行业经验者优先"	2026-02-04
	行政助理	蚂蚁集团	西安	19	32	博士	10年以上	绩效考核;招聘;PPT;组织管理	职能管理	头部大厂	"协调各部门之间的沟通
整理和归档相关文件资料
完成上级交办的其他任务

任职要求：
具备良好的沟通协调能力
工作认真负责，细致耐心
10年以上以上相关工作经验
有相关行业经验者优先"	2026-02-22
	数据分析师	搜狐	南京	8	14	不限	1-3年	Docker;Jenkins;数据结构;Django;深度学习	数据分析	头部大厂	"编写高质量、可维护的代码
参与技术方案评审，解决技术难题
负责数据分析师相关的系统设计和开发工作

任职要求：
熟悉相关技术栈和开发工具
具备良好的沟通能力和团队协作精神
不限及以上学历，计算机相关专业优先
具备良好的编程基础和算法能力"	2026-03-04
	用户研究	联想	郑州	5	8	大专	1-3年	需求分析;用户研究;Figma	运营	头部大厂	"协调开发、设计、测试等团队资源
进行用户调研和需求分析
负责用户研究的产品规划和设计

任职要求：
有相关行业产品经验者优先
1-3年以上产品经理经验
具备优秀的沟通协调能力
熟练使用Axure、Figma等设计工具"	2026-03-03
	UI设计	中通	上海	11	17	硕士	不限	3D Max;Illustrator;Adobe XD	UI设计	中型企业	"负责UI设计相关的设计工作
持续优化设计质量和用户体验
根据需求进行创意设计和视觉表现

任职要求：
具备良好的沟通理解能力
有优秀作品集者优先
不限以上设计经验
硕士及以上学历，设计相关专业优先"	2026-02-19
	行政助理	携程	重庆	8	13	大专	5-10年	培训;Excel;沟通协调	职能管理	头部大厂	"协助部门完成日常管理工作
整理和归档相关文件资料
负责行政助理相关工作

任职要求：
熟练使用办公软件
具备良好的沟通协调能力
工作认真负责，细致耐心
5-10年以上相关工作经验"	2026-02-17
	测试工程师	爱奇艺	苏州	7	11	大专	不限	Django;算法;Python;Vue	前端开发	中型企业	"参与需求分析、系统设计、编码实现和测试
持续优化系统性能和用户体验
负责测试工程师相关的系统设计和开发工作

任职要求：
不限以上相关工作经验
具备良好的编程基础和算法能力
熟悉相关技术栈和开发工具
大专及以上学历，计算机相关专业优先"	2026-02-13
	产品经理	当当网	上海	18	30	本科	3-5年	需求分析;数据分析;PRD文档;Axure	产品经理	大型企业	"协调开发、设计、测试等团队资源
负责产品经理的产品规划和设计
跟踪产品上线后的数据表现

任职要求：
具备良好的产品思维和用户洞察力
本科及以上学历
3-5年以上产品经理经验
有相关行业产品经验者优先"	2026-02-08
	产品总监	滴滴	上海	21	34	本科	5-10年	Figma;用户研究;PRD文档;数据分析	产品经理	头部大厂	"跟踪产品上线后的数据表现
编写产品需求文档（PRD）
进行用户调研和需求分析

任职要求：
5-10年以上产品经理经验
具备优秀的沟通协调能力
有相关行业产品经验者优先
熟练使用Axure、Figma等设计工具"	2026-02-21
	品牌经理	携程	成都	20	33	硕士	10年以上	媒介投放;公关;营销策划;BD	市场推广	头部大厂	"负责品牌经理相关的市场推广工作
分析市场动态和竞争对手
拓展市场渠道和合作伙伴

任职要求：
10年以上以上市场推广经验
硕士及以上学历
有相关行业资源者优先
具备市场策划和执行能力"	2026-02-12
	公关经理	华为	青岛	5	9	不限	不限	BD;市场调研;渠道拓展;营销策划	市场推广	头部大厂	"负责公关经理相关的市场推广工作
分析市场动态和竞争对手
组织市场活动和品牌宣传

任职要求：
具备良好的商务谈判能力
有相关行业资源者优先
不限及以上学历
不限以上市场推广经验"	2026-02-18
	新媒体运营	字节跳动	西安	6	10	本科	1-3年	数据分析;SEO;用户增长;内容策划	运营	头部大厂	"维护用户关系，提升用户活跃度
制定运营策略和执行计划
分析运营数据，优化运营效果

任职要求：
熟悉新媒体运营和内容策划
本科及以上学历
有成功运营案例者优先
具备数据分析能力和运营思维"	2026-02-14
	内容运营	腾讯	深圳	14	23	硕士	3-5年	内容策划;SEO;新媒体	运营	头部大厂	"负责内容运营相关的运营工作
维护用户关系，提升用户活跃度
制定运营策略和执行计划

任职要求：
3-5年以上运营经验
具备良好的文案写作能力
硕士及以上学历
熟悉新媒体运营和内容策划"	2026-02-12
	数据工程师	旷视科技	长沙	6	10	不限	不限	算法;React;Docker	前端开发	中型企业	"编写高质量、可维护的代码
参与技术方案评审，解决技术难题
持续优化系统性能和用户体验

任职要求：
不限及以上学历，计算机相关专业优先
具备良好的沟通能力和团队协作精神
具备良好的编程基础和算法能力
不限以上相关工作经验"	2026-02-26
	交互设计	海尔	天津	19	31	不限	10年以上	原型设计;需求分析;PRD文档	UI设计	中型企业	"跟踪产品上线后的数据表现
负责交互设计的产品规划和设计
进行用户调研和需求分析

任职要求：
熟练使用Axure、Figma等设计工具
有相关行业产品经验者优先
不限及以上学历
具备良好的产品思维和用户洞察力"	2026-02-21
	平面设计	依图科技	北京	14	23	硕士	1-3年	3D Max;After Effects;Adobe XD	UI设计	中型企业	"制作设计稿和交互原型
根据需求进行创意设计和视觉表现
与产品、开发团队协作

任职要求：
熟练使用设计软件和工具
具备良好的沟通理解能力
硕士及以上学历，设计相关专业优先
有优秀作品集者优先"	2026-02-21
	产品助理	当当网	成都	9	14	大专	3-5年	产品设计;Figma;用户研究;PRD文档;Axure;数据分析	产品经理	中型企业	"协调开发、设计、测试等团队资源
进行用户调研和需求分析
负责产品助理的产品规划和设计

任职要求：
熟练使用Axure、Figma等设计工具
具备优秀的沟通协调能力
有相关行业产品经验者优先
具备良好的产品思维和用户洞察力"	2026-02-23
	行政助理	华为	青岛	4	7	不限	1-3年	招聘;组织管理;薪酬管理;绩效考核;沟通协调	职能管理	头部大厂	"完成上级交办的其他任务
负责行政助理相关工作
协助部门完成日常管理工作

任职要求：
有相关行业经验者优先
具备良好的沟通协调能力
1-3年以上相关工作经验
工作认真负责，细致耐心"	2026-02-04
	视觉设计	京东	武汉	15	25	本科	10年以上	Sketch;3D Max;Photoshop;Illustrator	UI设计	头部大厂	"与产品、开发团队协作
制作设计稿和交互原型
持续优化设计质量和用户体验

任职要求：
10年以上以上设计经验
具备良好的沟通理解能力
具备良好的审美能力和创意思维
有优秀作品集者优先"	2026-02-25
	销售经理	比亚迪	重庆	8	13	本科	3-5年	公关;营销策划;品牌推广	市场推广	中型企业	"组织市场活动和品牌宣传
负责销售经理相关的市场推广工作
制定市场推广策略和计划

任职要求：
具备市场策划和执行能力
熟悉各类营销渠道和推广方式
3-5年以上市场推广经验
具备良好的商务谈判能力"	2026-02-04
	前端开发工程师	旷视科技	武汉	7	11	本科	不限	Redis;Spring Boot;Spark;高并发	前端开发	中型企业	"负责前端开发工程师相关的系统设计和开发工作
持续优化系统性能和用户体验
参与需求分析、系统设计、编码实现和测试

任职要求：
熟悉相关技术栈和开发工具
具备良好的编程基础和算法能力
有大型项目经验者优先
不限以上相关工作经验"	2026-02-07
	UX设计	滴滴	青岛	4	7	大专	1-3年	Adobe XD;Sketch;3D Max;Illustrator	UI设计	头部大厂	"与产品、开发团队协作
负责UX设计相关的设计工作
制作设计稿和交互原型

任职要求：
有优秀作品集者优先
具备良好的审美能力和创意思维
大专及以上学历，设计相关专业优先
1-3年以上设计经验"	2026-02-13
	产品总监	比亚迪	广州	11	19	硕士	1-3年	需求分析;Axure;用户研究;PRD文档;Figma	产品经理	中型企业	"负责产品总监的产品规划和设计
跟踪产品上线后的数据表现
协调开发、设计、测试等团队资源

任职要求：
有相关行业产品经验者优先
具备优秀的沟通协调能力
熟练使用Axure、Figma等设计工具
具备良好的产品思维和用户洞察力"	2026-02-20
	视觉设计	哔哩哔哩	广州	5	9	不限	应届生	C4D;3D Max;Sketch;Illustrator	UI设计	头部大厂	"负责视觉设计相关的设计工作
与产品、开发团队协作
持续优化设计质量和用户体验

任职要求：
有优秀作品集者优先
不限及以上学历，设计相关专业优先
具备良好的沟通理解能力
具备良好的审美能力和创意思维"	2026-02-10
	内容运营	海康威视	上海	45	74	博士	10年以上	内容策划;用户增长;SEO	运营	中型企业	"负责内容运营相关的运营工作
维护用户关系，提升用户活跃度
分析运营数据，优化运营效果

任职要求：
博士及以上学历
具备数据分析能力和运营思维
熟悉新媒体运营和内容策划
有成功运营案例者优先"	2026-02-17
	后端开发工程师	海尔	重庆	23	38	博士	3-5年	算法;Redis;分布式系统;PyTorch;TypeScript	后端开发	大型企业	"参与技术方案评审，解决技术难题
负责后端开发工程师相关的系统设计和开发工作
编写高质量、可维护的代码

任职要求：
有大型项目经验者优先
3-5年以上相关工作经验
熟悉相关技术栈和开发工具
具备良好的沟通能力和团队协作精神"	2026-02-15
	全栈开发工程师	比亚迪	苏州	4	7	大专	应届生	TypeScript;深度学习;Redis;Django;Kubernetes	后端开发	大型企业	"持续优化系统性能和用户体验
参与技术方案评审，解决技术难题
参与需求分析、系统设计、编码实现和测试

任职要求：
大专及以上学历，计算机相关专业优先
具备良好的沟通能力和团队协作精神
应届生以上相关工作经验
熟悉相关技术栈和开发工具"	2026-02-28
